step,episode,episode_return,episode_len,epsilon
9958,155,-0.6400,64,0.6847
10022,156,-0.6400,64,0.6826
10086,157,-0.6400,64,0.6806
10150,158,-0.6400,64,0.6786
10214,159,-0.6400,64,0.6766
10278,160,-0.6400,64,0.6745
10342,161,-0.6400,64,0.6725
10406,162,-0.6400,64,0.6705
10470,163,-0.6400,64,0.6684
10534,164,-0.6400,64,0.6664
10598,165,-0.6400,64,0.6644
10662,166,-0.6400,64,0.6624
10726,167,-0.6400,64,0.6603
10790,168,-0.6400,64,0.6583
10854,169,-0.6400,64,0.6563
10918,170,-0.6400,64,0.6543
10982,171,-0.6400,64,0.6522
11046,172,-0.6400,64,0.6502
11110,173,-0.6400,64,0.6482
11174,174,-0.6400,64,0.6462
11238,175,-0.6400,64,0.6441
11302,176,-0.6400,64,0.6421
11366,177,-0.6400,64,0.6401
11430,178,-0.6400,64,0.6381
11494,179,-0.6400,64,0.6360
11558,180,-0.6400,64,0.6340
11622,181,-0.6400,64,0.6320
11686,182,-0.6400,64,0.6299
11750,183,-0.6400,64,0.6279
11814,184,-0.6400,64,0.6259
11878,185,-0.6400,64,0.6239
11942,186,-0.6400,64,0.6218
12006,187,-0.6400,64,0.6198
12070,188,-0.6400,64,0.6178
12134,189,-0.6400,64,0.6158
12198,190,-0.6400,64,0.6137
12262,191,-0.6400,64,0.6117
12326,192,-0.6400,64,0.6097
12390,193,-0.6400,64,0.6077
12454,194,-0.6400,64,0.6056
12518,195,-0.6400,64,0.6036
12582,196,-0.6400,64,0.6016
12646,197,-0.6400,64,0.5995
12710,198,-0.6400,64,0.5975
12774,199,-0.6400,64,0.5955
12838,200,-0.6400,64,0.5935
12902,201,-0.6400,64,0.5914
12966,202,-0.6400,64,0.5894
13030,203,-0.6400,64,0.5874
13094,204,-0.6400,64,0.5854
13158,205,-0.6400,64,0.5833
13222,206,-0.6400,64,0.5813
13286,207,-0.6400,64,0.5793
13350,208,-0.6400,64,0.5773
13414,209,-0.6400,64,0.5752
13478,210,-0.6400,64,0.5732
13542,211,-0.6400,64,0.5712
13606,212,-0.6400,64,0.5691
13670,213,-0.6400,64,0.5671
13734,214,-0.6400,64,0.5651
13798,215,-0.6400,64,0.5631
13862,216,-0.6400,64,0.5610
13926,217,-0.6400,64,0.5590
13990,218,-0.6400,64,0.5570
14054,219,-0.6400,64,0.5550
14118,220,-0.6400,64,0.5529
14182,221,-0.6400,64,0.5509
14246,222,-0.6400,64,0.5489
14310,223,-0.6400,64,0.5469
14374,224,-0.6400,64,0.5448
14438,225,-0.6400,64,0.5428
14502,226,-0.6400,64,0.5408
14566,227,-0.6400,64,0.5387
14630,228,-0.6400,64,0.5367
14694,229,-0.6400,64,0.5347
14758,230,-0.6400,64,0.5327
14822,231,-0.6400,64,0.5306
14886,232,-0.6400,64,0.5286
14950,233,-0.6400,64,0.5266
15014,234,-0.6400,64,0.5246
15078,235,0.3700,64,0.5225
15142,236,-0.6400,64,0.5205
15206,237,-0.6400,64,0.5185
15270,238,-0.6400,64,0.5165
15334,239,-0.6400,64,0.5144
15398,240,-0.6400,64,0.5124
15456,241,0.4300,58,0.5106
15520,242,-0.6400,64,0.5085
15584,243,-0.6400,64,0.5065
15631,244,0.5400,47,0.5050
15695,245,-0.6400,64,0.5030
15759,246,-0.6400,64,0.5010
15823,247,-0.6400,64,0.4989
15887,248,-0.6400,64,0.4969
15916,249,0.7200,29,0.4960
15980,250,-0.6400,64,0.4940
16036,251,0.4500,56,0.4922
16100,252,-0.6400,64,0.4902
16164,253,-0.6400,64,0.4881
16228,254,-0.6400,64,0.4861
16292,255,-0.6400,64,0.4841
16356,256,-0.6400,64,0.4821
16420,257,-0.6400,64,0.4800
16484,258,-0.6400,64,0.4780
16548,259,-0.6400,64,0.4760
16588,260,0.6100,40,0.4747
16652,261,-0.6400,64,0.4727
16716,262,-0.6400,64,0.4707
16780,263,-0.6400,64,0.4686
16844,264,-0.6400,64,0.4666
16908,265,-0.6400,64,0.4646
16962,266,0.4700,54,0.4629
17026,267,-0.6400,64,0.4608
17070,268,0.5700,44,0.4595
17134,269,-0.6400,64,0.4574
17198,270,-0.6400,64,0.4554
17262,271,-0.6400,64,0.4534
17326,272,-0.6400,64,0.4513
17390,273,-0.6400,64,0.4493
17454,274,-0.6400,64,0.4473
17518,275,-0.6400,64,0.4453
17582,276,-0.6400,64,0.4432
17646,277,-0.6400,64,0.4412
17710,278,-0.6400,64,0.4392
17774,279,-0.6400,64,0.4372
17838,280,-0.6400,64,0.4351
17902,281,-0.6400,64,0.4331
17966,282,-0.6400,64,0.4311
18030,283,-0.6400,64,0.4291
18094,284,-0.6400,64,0.4270
18158,285,-0.6400,64,0.4250
18222,286,-0.6400,64,0.4230
18286,287,-0.6400,64,0.4209
18350,288,-0.6400,64,0.4189
18414,289,-0.6400,64,0.4169
18478,290,-0.6400,64,0.4149
18542,291,-0.6400,64,0.4128
18606,292,-0.6400,64,0.4108
18670,293,-0.6400,64,0.4088
18734,294,-0.6400,64,0.4068
18798,295,-0.6400,64,0.4047
18862,296,-0.6400,64,0.4027
18926,297,-0.6400,64,0.4007
18957,298,0.7000,31,0.3997
19021,299,-0.6400,64,0.3977
19085,300,-0.6400,64,0.3956
19149,301,-0.6400,64,0.3936
19213,302,-0.6400,64,0.3916
19277,303,-0.6400,64,0.3896
19341,304,-0.6400,64,0.3875
19405,305,-0.6400,64,0.3855
19469,306,-0.6400,64,0.3835
19533,307,-0.6400,64,0.3815
19597,308,-0.6400,64,0.3794
19661,309,-0.6400,64,0.3774
19725,310,-0.6400,64,0.3754
19789,311,-0.6400,64,0.3733
19853,312,-0.6400,64,0.3713
19917,313,-0.6400,64,0.3693
19981,314,-0.6400,64,0.3673
